Question and Choices,Answer
"Based on the question about punishing, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?
A. ignore
B. enforce
C. authoritarian
D. yell at
E. avoid",the correct choice is A which is ignore.
"Based on the question about people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Sammy wanted to go to where the people were.  Where might he go?
A. race track
B. populated areas
C. the desert
D. apartment
E. roadblock",the correct choice is B which is populated areas.
"Based on the question about choker, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
To locate a choker not located in a jewelry box or boutique where would you go?
A. jewelry store
B. neck
C. jewlery box
D. jewelry box
E. boutique",the correct choice is A which is jewelry store.
"Based on the question about highway, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Google Maps and other highway and street GPS services have replaced what?
A. united states
B. mexico
C. countryside
D. atlas
E. oceans",the correct choice is D which is atlas.
"Based on the question about fox, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The fox walked from the city into the forest, what was it looking for?
A. pretty flowers.
B. hen house
C. natural habitat
D. storybook
E. dense forest",the correct choice is C which is natural habitat.
"Based on the question about cable, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What home entertainment equipment requires cable?
A. radio shack
B. substation
C. cabinet
D. television
E. desk",the correct choice is D which is television.
"Based on the question about drawstring bag, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The only baggage the woman checked was a drawstring bag, where was she heading with it?
A. garbage can
B. military
C. jewelry store
D. safe
E. airport",the correct choice is E which is airport.
"Based on the question about mold, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?
A. carpet
B. refrigerator
C. breadbox
D. fridge
E. coach",the correct choice is B which is refrigerator.
"Based on the question about fountain pen, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What do people use to absorb extra ink from a fountain pen?
A. shirt pocket
B. calligrapher's hand
C. inkwell
D. desk drawer
E. blotter",the correct choice is E which is blotter.
"Based on the question about restaurant, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where is a business restaurant likely to be located?
A. town
B. at hotel
C. mall
D. business sector
E. yellow pages",the correct choice is D which is business sector.
